--------- beginning of /dev/log/system
01-01 00:00:10.639 I/Vold    (  104): Vold 2.1 (the revenge) firing up
01-01 00:00:10.649 D/Vold    (  104): Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:10.649 D/Vold    (  104): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:20.149 I/SystemServer(  491): Entered the Android system server!
01-01 00:00:27.939 I/PackageManager(  491): Time to scan packages: 5.003 seconds
01-01 00:00:27.939 W/PackageManager(  491): Unknown permission com.android.vending.billing.IBillingAccountService.BIND2 in package com.google.android.gsf.login
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission com.android.gallery3d.permission.GALLERY_PROVIDER in package com.android.bluetooth
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission android.permission.ACCESS_NVM_PARTITION in package com.android.bluetooth
01-01 00:00:27.949 W/PackageManager(  491): Not granting permission android.permission.WRITE_MEDIA_STORAGE to package com.pekall.fmradio (protectionLevel=18 flags=0x8be45)
01-01 00:00:27.949 W/PackageManager(  491): Not granting permission android.permission.BIND_WALLPAPER to package com.android.camera2 (protectionLevel=18 flags=0x58bc45)
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission android.permission.INSTALL_DRM in package com.android.mms
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission com.android.gallery3d.permission.GALLERY_PROVIDER in package com.android.mms
01-01 00:00:27.949 W/PackageManager(  491): Not granting permission android.permission.READ_FRAME_BUFFER to package com.google.android.marvin.talkback (protectionLevel=18 flags=0x49be45)
01-01 00:00:27.949 W/PackageManager(  491): Not granting permission android.permission.DEVICE_POWER to package com.google.android.deskclock (protectionLevel=2 flags=0x48be45)
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission android.permission.RECOVERY in package com.google.android.gms
01-01 00:00:27.949 W/PackageManager(  491): Not granting permission android.permission.READ_DREAM_STATE to package com.google.android.gms (protectionLevel=2 flags=0x40483e45)
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.gms
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission com.google.android.wearable.READ_SETTINGS in package com.google.android.gms
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
01-01 00:00:27.949 W/PackageManager(  491): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.google.android.voicesearch.ACCESS_SETTINGS in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.android.browser.permission.PRELOAD in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.google.android.ears.permission.WRITE in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission com.google.android.launcher.permission.CONTENT_REDIRECT in package com.google.android.googlequicksearchbox
01-01 00:00:27.959 W/PackageManager(  491): Not granting permission android.permission.ACCOUNT_MANAGER to package com.google.android.music (protectionLevel=2 flags=0x8be65)
01-01 00:00:27.959 W/PackageManager(  491): Not granting permission android.permission.DELETE_PACKAGES to package com.svox.pico (protectionLevel=18 flags=0x8be45)
01-01 00:00:27.959 W/PackageManager(  491): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs
01-01 00:00:27.969 W/PackageManager(  491): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.apps.plus
01-01 00:00:27.969 W/PackageManager(  491): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0x400abe45)
01-01 00:00:27.969 W/PackageManager(  491): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
01-01 00:00:27.969 W/PackageManager(  491): Not granting permission android.permission.READ_DREAM_STATE to package com.google.android.gsf (protectionLevel=2 flags=0x40083e45)
01-01 00:00:27.979 W/PackageManager(  491): Unknown permission com.chrome.permission.DEVICE_EXTRAS in package com.android.chrome
01-01 00:00:27.979 W/PackageManager(  491): Unknown permission com.sec.enterprise.knox.MDM_CONTENT_PROVIDER in package com.android.chrome
01-01 00:00:28.299 I/SystemServer(  491): Entropy Mixer
01-01 00:00:28.299 I/EntropyMixer(  491): Writing entropy...
01-01 00:00:28.319 I/SystemServer(  491): User Service
01-01 00:00:28.319 I/SystemServer(  491): Account Manager
01-01 00:00:28.339 I/SystemServer(  491): Content Manager
01-01 00:00:28.339 I/SystemServer(  491): System Content Providers
01-01 00:00:28.389 I/SystemServer(  491): Lights Service
01-01 00:00:28.399 I/SystemServer(  491): Battery Service
01-01 00:00:28.409 I/SystemServer(  491): Vibrator Service
01-01 00:00:28.409 I/SystemServer(  491): Consumer IR Service
01-01 00:00:28.409 I/SystemServer(  491): Thermal Service enabled
01-01 00:00:28.419 I/SystemServer(  491): Alarm Manager
01-01 00:00:28.419 I/SystemServer(  491): Init Watchdog
01-01 00:00:28.419 I/SystemServer(  491): Input Manager
01-01 00:00:28.419 I/InputManager(  491): Initializing input manager, mUseDevInputEventForAudioJack=false
01-01 00:00:28.429 I/SystemServer(  491): Window Manager
01-01 00:00:28.449 I/WindowManager(  491): No existing display settings /data/system/display_settings.xml; starting empty
01-01 00:00:28.499 I/WindowManager(  491): No keyguard interface!
01-01 00:00:28.509 I/InputManager(  491): Starting input manager
01-01 00:00:28.519 I/SystemServer(  491): Bluetooth Manager Service
01-01 00:00:28.519 I/SystemServer(  491): Input Method Service
01-01 00:00:28.529 W/InputMethodManagerService(  491): Couldn't create dir.: /data/system/inputmethod
01-01 00:00:28.609 I/SystemServer(  491): Accessibility Manager
01-01 00:00:28.659 I/ActivityManager(  491): Config changes=1df8 {1.0 ?mcc?mnc en_US ldltr sw400dp w400dp h682dp 240dpi nrml long port ?uimode ?night -touch -keyb/v/h -nav/h s.2}
01-01 00:00:28.669 I/ActivityManager(  491): Config changes=500 {1.0 ?mcc?mnc en_US ldltr sw400dp w400dp h609dp 240dpi nrml port ?uimode ?night -touch -keyb/v/h -nav/h s.3}
01-01 00:00:28.669 I/SystemServer(  491): Mount Service
01-01 00:00:28.679 D/MountService(  491): got storage path: /storage/sdcard0 description: Internal storage primary: true removable: false emulated: true mtpReserve: 100 allowMassStorage: false maxFileSize: 0
01-01 00:00:28.679 D/MountService(  491): addVolumeLocked() StorageVolume:
01-01 00:00:28.679 D/MountService(  491):     mStorageId=65537 mPath=/storage/emulated/0 mDescriptionId=17040664 
01-01 00:00:28.679 D/MountService(  491):     mPrimary=true mRemovable=false mEmulated=true mMtpReserveSpace=100 
01-01 00:00:28.679 D/MountService(  491):     mAllowMassStorage=false mMaxFileSize=0 mOwner=UserHandle{0} mUuid=null 
01-01 00:00:28.679 D/MountService(  491):     mUserLabel=null mState=null 
01-01 00:00:28.679 D/MountService(  491): got storage path: /storage/sdcard1 description: SD card primary: false removable: true emulated: false mtpReserve: 0 allowMassStorage: true maxFileSize: 0
01-01 00:00:28.679 D/MountService(  491): addVolumeLocked() StorageVolume:
01-01 00:00:28.679 D/MountService(  491):     mStorageId=0 mPath=/storage/sdcard1 mDescriptionId=17040665 mPrimary=false 
01-01 00:00:28.679 D/MountService(  491):     mRemovable=true mEmulated=false mMtpReserveSpace=0 mAllowMassStorage=true 
01-01 00:00:28.679 D/MountService(  491):     mMaxFileSize=0 mOwner=null mUuid=null mUserLabel=null mState=null 
01-01 00:00:28.679 D/MountService(  491): got storage path: /storage/usbdisk description: USB storage primary: false removable: true emulated: false mtpReserve: 0 allowMassStorage: false maxFileSize: 0
01-01 00:00:28.679 D/MountService(  491): addVolumeLocked() StorageVolume:
01-01 00:00:28.679 D/MountService(  491):     mStorageId=0 mPath=/storage/usbdisk mDescriptionId=17040666 mPrimary=false 
01-01 00:00:28.679 D/MountService(  491):     mRemovable=true mEmulated=false mMtpReserveSpace=0 mAllowMassStorage=false 
01-01 00:00:28.679 D/MountService(  491):     mMaxFileSize=0 mOwner=null mUuid=null mUserLabel=null mState=null 
01-01 00:00:28.689 I/SystemServer(  491): LockSettingsService
01-01 00:00:28.689 I/SystemServer(  491): Device Policy
01-01 00:00:28.689 I/SystemServer(  491): Status Bar
01-01 00:00:28.689 I/SystemServer(  491): Clipboard Service
01-01 00:00:28.689 I/SystemServer(  491): NetworkManagement Service
01-01 00:00:28.699 I/SystemServer(  491): Text Service Manager Service
01-01 00:00:28.709 I/SystemServer(  491): NetworkStats Service
01-01 00:00:28.709 D/MountService(  491): volume state changed for /storage/sdcard1 (unmounted -> removed)
01-01 00:00:28.709 D/MountService(  491): volume state changed for /storage/usbdisk (unmounted -> removed)
01-01 00:00:28.719 I/SystemServer(  491): NetworkPolicy Service
01-01 00:00:28.729 W/PackageManager(  491): Unknown permission com.android.vending.billing.IBillingAccountService.BIND2 in package com.google.android.gsf.login
01-01 00:00:28.729 I/SystemServer(  491): Wi-Fi P2pService
01-01 00:00:28.729 W/PackageManager(  491): Unknown permission com.android.gallery3d.permission.GALLERY_PROVIDER in package com.android.bluetooth
01-01 00:00:28.729 W/PackageManager(  491): Unknown permission android.permission.ACCESS_NVM_PARTITION in package com.android.bluetooth
01-01 00:00:28.729 W/PackageManager(  491): Not granting permission android.permission.WRITE_MEDIA_STORAGE to package com.pekall.fmradio (protectionLevel=18 flags=0x8be45)
01-01 00:00:28.729 W/PackageManager(  491): Not granting permission android.permission.BIND_WALLPAPER to package com.android.camera2 (protectionLevel=18 flags=0x58bc45)
01-01 00:00:28.729 W/PackageManager(  491): Unknown permission android.permission.INSTALL_DRM in package com.android.mms
01-01 00:00:28.729 W/PackageManager(  491): Unknown permission com.android.gallery3d.permission.GALLERY_PROVIDER in package com.android.mms
01-01 00:00:28.729 W/PackageManager(  491): Not granting permission android.permission.READ_FRAME_BUFFER to package com.google.android.marvin.talkback (protectionLevel=18 flags=0x49be45)
01-01 00:00:28.729 W/PackageManager(  491): Not granting permission android.permission.DEVICE_POWER to package com.google.android.deskclock (protectionLevel=2 flags=0x48be45)
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission android.permission.RECOVERY in package com.google.android.gms
01-01 00:00:28.739 W/PackageManager(  491): Not granting permission android.permission.READ_DREAM_STATE to package com.google.android.gms (protectionLevel=2 flags=0x40483e45)
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.gms
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.wearable.READ_SETTINGS in package com.google.android.gms
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.voicesearch.ACCESS_SETTINGS in package com.google.android.googlequicksearchbox
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.android.browser.permission.PRELOAD in package com.google.android.googlequicksearchbox
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.ears.permission.WRITE in package com.google.android.googlequicksearchbox
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.googlequicksearchbox
01-01 00:00:28.739 W/PackageManager(  491): Unknown permission com.google.android.launcher.permission.CONTENT_REDIRECT in package com.google.android.googlequicksearchbox
01-01 00:00:28.749 W/PackageManager(  491): Not granting permission android.permission.ACCOUNT_MANAGER to package com.google.android.music (protectionLevel=2 flags=0x8be65)
01-01 00:00:28.749 W/PackageManager(  491): Not granting permission android.permission.DELETE_PACKAGES to package com.svox.pico (protectionLevel=18 flags=0x8be45)
01-01 00:00:28.749 W/PackageManager(  491): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs
01-01 00:00:28.749 W/PackageManager(  491): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.apps.plus
01-01 00:00:28.749 W/PackageManager(  491): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0x400abe45)
01-01 00:00:28.759 W/PackageManager(  491): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
01-01 00:00:28.759 W/PackageManager(  491): Not granting permission android.permission.READ_DREAM_STATE to package com.google.android.gsf (protectionLevel=2 flags=0x40083e45)
01-01 00:00:28.759 W/PackageManager(  491): Unknown permission com.chrome.permission.DEVICE_EXTRAS in package com.android.chrome
01-01 00:00:28.759 W/PackageManager(  491): Unknown permission com.sec.enterprise.knox.MDM_CONTENT_PROVIDER in package com.android.chrome
01-01 00:00:28.859 I/ActivityManager(  491): Config changes=8 {1.0 ?mcc?mnc en_US ldltr sw400dp w400dp h609dp 240dpi nrml port ?uimode ?night finger -keyb/v/h -nav/h s.4}
01-01 00:00:29.049 I/SystemServer(  491): Wi-Fi Service
01-01 00:00:29.159 I/SystemServer(  491): Connectivity Service
01-01 00:00:29.159 D/ConnectivityService(  491): ConnectivityService starting up
01-01 00:00:29.159 D/ConnectivityService(  491): wifiOnly=false
01-01 00:00:29.189 E/MobileDataStateTracker(  491): Error mapping networkType 11 to apnType.
01-01 00:00:29.199 W/ContextImpl(  491): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1563 android.bluetooth.BluetoothPan.doBind:149 android.bluetooth.BluetoothPan.<init>:141 android.bluetooth.BluetoothAdapter.getProfileProxy:1370 android.bluetooth.BluetoothTetheringDataTracker.startMonitoring:116 
01-01 00:00:29.209 D/MobileDataStateTracker(  491): default: request mobile
01-01 00:00:29.209 D/MobileDataStateTracker(  491): default: Phone service: phone
01-01 00:00:29.209 E/MobileDataStateTracker(  491): default: Ignoring feature request because could not acquire PhoneService
01-01 00:00:29.209 E/MobileDataStateTracker(  491): default: Could not enable APN type "default"
01-01 00:00:29.249 I/WifiService(  491): WifiService starting up with Wi-Fi enabled
01-01 00:00:29.249 D/WifiService(  491): setWifiEnabled: true pid=491, uid=1000
01-01 00:00:29.279 I/SystemServer(  491): Network Service Discovery Service
01-01 00:00:29.279 D/NsdService(  491): Network service discovery enabled true
01-01 00:00:29.279 I/SystemServer(  491): UpdateLock Service
01-01 00:00:29.349 I/SystemServer(  491): Notification Manager
01-01 00:00:29.359 I/SystemServer(  491): Device Storage Monitor
01-01 00:00:29.359 I/SystemServer(  491): Location Manager
01-01 00:00:29.369 I/SystemServer(  491): Country Detector
01-01 00:00:29.369 I/SystemServer(  491): Search Service
01-01 00:00:29.369 I/SystemServer(  491): DropBox Service
01-01 00:00:29.369 I/SystemServer(  491): Wallpaper Service
01-01 00:00:29.379 I/SystemServer(  491): Audio Service
01-01 00:00:29.569 I/SystemServer(  491): Dock Observer
01-01 00:00:29.569 W/DockObserver(  491): This kernel does not have dock station support
01-01 00:00:29.569 I/SystemServer(  491): Wired Accessory Manager
01-01 00:00:29.569 W/WiredAccessoryManager(  491): This kernel does not have usb audio support
01-01 00:00:29.569 W/WiredAccessoryManager(  491): This kernel does not have HDMI audio support
01-01 00:00:29.569 I/SystemServer(  491): USB Service
01-01 00:00:29.589 I/SystemServer(  491): Serial Service
01-01 00:00:29.589 I/SystemServer(  491): Twilight Service
01-01 00:00:29.589 I/SystemServer(  491): UI Mode Manager Service
01-01 00:00:29.589 I/SystemServer(  491): Backup Service
01-01 00:00:29.599 V/BackupManagerService(  491): Initializing package tracking
01-01 00:00:29.599 V/BackupManagerService(  491): No ancestral data
01-01 00:00:29.609 V/BackupManagerService(  491): addPackageParticipantsLocked: all
01-01 00:00:29.609 I/BackupManagerService(  491): Scheduling backup for new app com.android.sharedstoragebackup
01-01 00:00:29.609 D/BackupManagerService(  491): Now staging backup of com.android.sharedstoragebackup
01-01 00:00:29.619 I/BackupManagerService(  491): Scheduling backup for new app com.google.android.marvin.talkback
01-01 00:00:29.619 D/BackupManagerService(  491): Now staging backup of com.google.android.marvin.talkback
01-01 00:00:29.619 I/BackupManagerService(  491): Scheduling backup for new app com.google.android.googlequicksearchbox
01-01 00:00:29.629 D/BackupManagerService(  491): Now staging backup of com.google.android.googlequicksearchbox
01-01 00:00:29.629 I/BackupManagerService(  491): Scheduling backup for new app com.google.android.inputmethod.latin
01-01 00:00:29.629 D/BackupManagerService(  491): Now staging backup of com.google.android.inputmethod.latin
01-01 00:00:29.629 I/BackupManagerService(  491): Scheduling backup for new app com.android.dialer
01-01 00:00:29.639 D/BackupManagerService(  491): Now staging backup of com.android.dialer
01-01 00:00:29.639 I/BackupManagerService(  491): Scheduling backup for new app com.android.providers.settings
01-01 00:00:29.639 D/BackupManagerService(  491): Now staging backup of com.android.providers.settings
01-01 00:00:29.649 I/BackupManagerService(  491): Scheduling backup for new app com.android.providers.userdictionary
01-01 00:00:29.649 D/BackupManagerService(  491): Now staging backup of com.android.providers.userdictionary
01-01 00:00:29.649 I/BackupManagerService(  491): Scheduling backup for new app android
01-01 00:00:29.649 D/BackupManagerService(  491): Now staging backup of android
01-01 00:00:29.649 I/BackupManagerService(  491): Scheduling backup for new app com.android.vending
01-01 00:00:29.659 D/BackupManagerService(  491): Now staging backup of com.android.vending
01-01 00:00:29.659 I/BackupManagerService(  491): Scheduling backup for new app com.google.android.gm
01-01 00:00:29.659 D/BackupManagerService(  491): Now staging backup of com.google.android.gm
01-01 00:00:29.669 I/BackupManagerService(  491): Scheduling backup for new app com.google.android.calendar
01-01 00:00:29.669 D/BackupManagerService(  491): Now staging backup of com.google.android.calendar
01-01 00:00:29.669 V/BackupManagerService(  491): Starting with transport android/com.android.internal.backup.LocalTransport
01-01 00:00:29.669 V/BackupManagerService(  491): Found transports: 2
01-01 00:00:29.669 I/BackupManagerService(  491): Binding to transport host ComponentInfo{android/com.android.internal.backup.LocalTransportService}
01-01 00:00:29.669 I/BackupManagerService(  491): Binding to transport host ComponentInfo{com.google.android.backuptransport/com.google.android.backup.BackupTransportService}
01-01 00:00:29.679 I/BackupManagerService(  491): Found stale backup journal, scheduling
01-01 00:00:29.679 I/BackupManagerService(  491):   com.android.sharedstoragebackup
01-01 00:00:29.679 I/BackupManagerService(  491):   com.google.android.marvin.talkback
01-01 00:00:29.679 I/BackupManagerService(  491):   com.google.android.googlequicksearchbox
01-01 00:00:29.679 I/BackupManagerService(  491):   com.google.android.inputmethod.latin
01-01 00:00:29.679 I/BackupManagerService(  491):   com.android.dialer
01-01 00:00:29.679 I/BackupManagerService(  491):   com.android.providers.settings
01-01 00:00:29.679 I/BackupManagerService(  491):   com.android.providers.userdictionary
01-01 00:00:29.679 I/BackupManagerService(  491):   android
01-01 00:00:29.679 I/BackupManagerService(  491):   com.android.vending
01-01 00:00:29.679 I/BackupManagerService(  491):   com.google.android.gm
01-01 00:00:29.679 I/BackupManagerService(  491):   com.google.android.calendar
01-01 00:00:29.699 I/BackupManagerService(  491): Backup enabled => false
01-01 00:00:29.699 I/BackupManagerService(  491): Opting out of backup
01-01 00:00:29.699 I/SystemServer(  491): AppWidget Service
01-01 00:00:29.699 I/SystemServer(  491): Recognition Service
01-01 00:00:29.699 I/SystemServer(  491): DiskStats Service
01-01 00:00:29.699 I/SystemServer(  491): SamplingProfiler Service
01-01 00:00:29.709 I/SystemServer(  491): NetworkTimeUpdateService
01-01 00:00:29.709 I/SystemServer(  491): CommonTimeManagementService
01-01 00:00:29.709 I/SystemServer(  491): CertBlacklister
01-01 00:00:29.709 I/SystemServer(  491): Dreams Service
01-01 00:00:29.729 I/SystemServer(  491): Assets Atlas Service
01-01 00:00:29.729 I/SystemServer(  491): IdleMaintenanceService
01-01 00:00:29.729 I/SystemServer(  491): Print Service
01-01 00:00:29.729 I/SystemServer(  491): Media Router Service
01-01 00:00:30.049 I/ActivityManager(  491): Start proc com.android.systemui for service com.android.keyguard/.KeyguardService: pid=551 uid=10012 gids={50012, 1028, 1015, 1035, 3002, 3001}
01-01 00:00:30.069 W/SystemServer(  491): ***********************************************
01-01 00:00:30.099 I/DropBoxManagerService(  491): Cleaning temp file: /data/system/dropbox/drop90.tmp
01-01 00:00:30.309 I/AppOps  (  491): Pruning old package media/1013: new uid=-1
01-01 00:00:30.309 I/ActivityManager(  491): System now ready
01-01 00:00:30.309 I/SystemServer(  491): Making services ready
01-01 00:00:30.329 W/MountService(  491): Duplicate state transition (mounted -> mounted) for /storage/emulated/0
01-01 00:00:30.329 D/NetworkManagementService(  491): enabling bandwidth control
01-01 00:00:30.749 I/StatusBarManagerService(  491): registerStatusBar bar=com.android.internal.statusbar.IStatusBar$Stub$Proxy@21b36bb8
01-01 00:00:31.019 I/ActivityManager(  491): Config changes=200 {1.0 ?mcc?mnc en_US ldltr sw400dp w400dp h609dp 240dpi nrml port finger -keyb/v/h -nav/h s.5}
01-01 00:00:31.079 I/ActivityManager(  491): Start proc android.process.media for broadcast com.android.providers.media/.MtpReceiver: pid=626 uid=10006 gids={50006, 1028, 1015, 1023, 1024, 2001, 3003, 3007}
01-01 00:00:31.289 W/InputMethodManagerService(  491): Ignoring setImeWindowStatus of uid 1000 token: null
01-01 00:00:31.359 I/ActivityManager(  491): Start proc com.google.android.inputmethod.latin for service com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME: pid=639 uid=10047 gids={50047, 3003, 1028, 1015}
01-01 00:00:31.359 V/InputMethodManagerService(  491): Adding window token: android.os.Binder@21b6c280
01-01 00:00:31.919 D/TelephonyRegistry2(  491): listen: E pkg=com.android.systemui events=0x1e1 myUid=0 callerUid=0
01-01 00:00:31.919 I/TelephonyRegistry2(  491): listen: add new record={pkgForDebug=com.android.systemui callerUid=0 events=0}
01-01 00:00:31.919 D/TelephonyRegistry2(  491): validateEventsAndUserLocked: valid=false r.callerUid=0 foregroundUser=0 r.events=481 events=16
01-01 00:00:31.919 D/TelephonyRegistry2(  491): validateEventsAndUserLocked: valid=false r.callerUid=0 foregroundUser=0 r.events=481 events=1024
01-01 00:00:31.949 D/CarrierLabel(  551): mSlot = 0
01-01 00:00:31.949 D/CarrierLabel(  551): mSlot = 1
01-01 00:00:32.209 I/ActivityManager(  491): Start proc com.android.phone for added application com.android.phone: pid=657 uid=1001 gids={41001, 3002, 3001, 3003, 1028, 1015}
01-01 00:00:32.239 I/ActivityManager(  491): Start proc com.intel.simwidget for added application com.intel.simwidget: pid=662 uid=1001 gids={41001, 3002, 3001, 3003, 1028, 1015}
01-01 00:00:32.239 I/ActivityManager(  491): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 0
01-01 00:00:32.269 I/ActivityManager(  491): Start proc com.android.launcher for activity com.android.launcher/com.android.launcher2.Launcher: pid=670 uid=10013 gids={50013}
01-01 00:00:32.309 I/SystemServer(  491): Enabled StrictMode for system server main thread.
01-01 00:00:32.389 I/ActivityManager(  491): Start proc com.android.printspooler for service com.android.printspooler/.PrintSpoolerService: pid=696 uid=10065 gids={50065}
01-01 00:00:32.429 W/InputMethodManagerService(  491): Focus gain on non-focused client android.view.inputmethod.InputMethodManager$1@21b47b08 (uid=1000 pid=491)
01-01 00:00:32.829 I/ActivityManager(  491): Start proc android.process.acore for content provider com.android.providers.userdictionary/.UserDictionaryProvider: pid=717 uid=10003 gids={50003, 3003, 1028, 1015}
01-01 00:00:33.119 V/BackupManagerService(  491): Connected to transport ComponentInfo{android/com.android.internal.backup.LocalTransportService}
01-01 00:00:33.119 V/BackupManagerService(  491): Registering transport android/com.android.internal.backup.LocalTransportService::android/com.android.internal.backup.LocalTransport = com.android.internal.backup.LocalTransport@21b0319c
01-01 00:00:33.959 I/ActivityManager(  491): Start proc com.google.android.gms for broadcast com.google.android.gms/com.google.android.location.internal.NlpNetworkProviderSettingsUpdateReceiver: pid=755 uid=10008 gids={50008, 3003, 1007, 1028, 1015, 3002, 3001, 3007, 2001, 3006}
01-01 00:00:34.149 V/KeyguardTouchDelegate(  551): Connected to keyguard
01-01 00:00:34.479 I/ActivityManager(  491): Start proc com.android.smspush for service com.android.smspush/.WapPushManager: pid=778 uid=10071 gids={50071}
